date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:01:56	24243/24243	---MC-	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2017:01:56%20GMT	https://www.eps-dubai.com/five_hotels_and_resorts_jbr	C:/My%20Web%20Sites/landing%202/www.eps-dubai.com/five_hotels_and_resorts_jbr.html	(from )
22:01:56	23/23	---M--	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2017:01:57%20GMT	https://www.eps-dubai.com/robots.txt		(from )
22:01:58	6151/6151	---M--	200	added ('OK')	image/png	etag:%22811c88355757a83fd0c40e9690b371a6%22	https://s3-eu-west-1.amazonaws.com/landingi-editor-uploads/vrwG2Q7l/1613303910605.png	C:/My%20Web%20Sites/landing%202/s3-eu-west-1.amazonaws.com/landingi-editor-uploads/vrwG2Q7l/1613303910605.png	(from https://www.eps-dubai.com/five_hotels_and_resorts_jbr)
22:02:00	78019/78019	---MCZ	200	added ('OK')	text/css	etag:W/%2290e6631681f135e2b0844a1beeabb028%22	https://styles.assets-landingi.com/assets/css/2.13-landend-base.css	C:/My%20Web%20Sites/landing%202/styles.assets-landingi.com/assets/css/2.13-landend-base.css	(from https://www.eps-dubai.com/five_hotels_and_resorts_jbr)
22:02:00	7004/7004	---MCZ	200	added ('OK')	text/css	etag:W/%2227e2715a928e433393ed86cf582bac6b%22	https://scripts.assets-landingi.com/landend/image-gallery/blueimp-gallery/css/blueimp-gallery.min-210310.css	C:/My%20Web%20Sites/landing%202/scripts.assets-landingi.com/landend/image-gallery/blueimp-gallery/css/blueimp-gallery.min-210310.css	(from https://www.eps-dubai.com/five_hotels_and_resorts_jbr)
22:02:02	85238/85238	---MCZ	200	added ('OK')	text/css	etag:W/%22ebc747b9f4b0aac71d6180ef30a3d48a%22	https://styles.assets-landingi.com/MH94exdy/base.css	C:/My%20Web%20Sites/landing%202/styles.assets-landingi.com/MH94exdy/base.css	(from https://www.eps-dubai.com/five_hotels_and_resorts_jbr)
22:02:02	100879/100879	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2008%20Sep%202021%2017:02:03%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/landing%202/connect.facebook.net/en_US/fbevents.js	(from https://www.eps-dubai.com/five_hotels_and_resorts_jbr)
22:02:04	31808/31808	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b323d9443581609b62e55fd892617f84%22	https://scripts.assets-landingi.com/lightboxes/lightbox-render.js?v=1631120515	C:/My%20Web%20Sites/landing%202/scripts.assets-landingi.com/lightboxes/lightbox-render4e73.js	(from https://www.eps-dubai.com/five_hotels_and_resorts_jbr)
22:02:04	7722/7722	---M-Z	200	added ('OK')	application/javascript	etag:W/%22810637653b8b6681622cbbfa20307826%22	https://ucarecdn.com/libs/blinkloader/3.x/blinkloader.min.js	C:/My%20Web%20Sites/landing%202/ucarecdn.com/libs/blinkloader/3.x/blinkloader.min.js	(from https://www.eps-dubai.com/five_hotels_and_resorts_jbr)
22:02:06	32768/32768	---M--	200	added ('OK')	image/jpeg	etag:%225abca2d1165153211249399c454ab31e%22	https://images.assets-landingi.com/uc/2c7281a4-ff7e-4070-bddb-d90ed2b2ec2a/fivelogo.jpeg	C:/My%20Web%20Sites/landing%202/images.assets-landingi.com/uc/2c7281a4-ff7e-4070-bddb-d90ed2b2ec2a/five-logo.jpeg	(from https://www.eps-dubai.com/five_hotels_and_resorts_jbr)
22:02:08	112020/112020	---M--	200	added ('OK')	image/jpeg	etag:%2247cf69a7d14a8e52f2686b062fd2b923%22	https://images.assets-landingi.com/uc/5afb808e-e325-43bf-9296-01e45f0a9758/FIVEJBRFlipbookV4__Page_30_Image_0001.jpg	C:/My%20Web%20Sites/landing%202/images.assets-landingi.com/uc/5afb808e-e325-43bf-9296-01e45f0a9758/FIVE%20JBR%20Flipbook%20V4__Page_30_Image_0001.jpg	(from https://www.eps-dubai.com/five_hotels_and_resorts_jbr)
22:02:09	128035/128035	---M--	200	added ('OK')	image/jpeg	etag:%22a706ab4613b5c66ed10c352abd40d7f3%22	https://images.assets-landingi.com/uc/fe0d99ba-d677-4686-933d-db9f2760db0b/FIVEJBRFlipbookV4__Page_21_Image_0001.jpg	C:/My%20Web%20Sites/landing%202/images.assets-landingi.com/uc/fe0d99ba-d677-4686-933d-db9f2760db0b/FIVE%20JBR%20Flipbook%20V4__Page_21_Image_0001.jpg	(from https://www.eps-dubai.com/five_hotels_and_resorts_jbr)
